Commit Date,Commit SHA,Removed EPDs 1,2,3,4,5,New bm EPD,Release tag
2022-06-20T08:30:57+02:00,442c40b43de8ede1e424efa674c8d45322e3b43c,None,None,12,None,None,None,
2022-07-04T15:42:34+02:00,85f8ee6199f8578fbc082fc0f37e1985813e637a,None,14,12,None,19,None,
2022-07-05T13:55:50+02:00,c2aaaa65f97d4cd5fc06f19ce8d158d85dcd7a7b,None,14,12,None,19,None,
2022-07-09T10:53:17+02:00,aa18b68033403ee2d8d49df783cab32e6bccf59c,None,14,12,None,19,None,
2022-07-09T10:58:04+02:00,2e02dd79366e6f17df5b0599048937289fd5819e,None,14,12,None,19,None,
2022-07-13T18:00:39+02:00,95d24b77dfe8a147100d9753c5580563c3e642d2,None,14,12,None,19,None,
2022-07-13T18:01:20+02:00,4b4b7d1209259811537634c68555d2a8f4af197c,None,None,12,None,None,None,
2022-07-24T09:18:38+02:00,c4a644922dc219aade86ea07c85e95899850fac8,None,None,12,None,None,None,
2022-07-31T11:00:31+02:00,18389e269d43af69c96521f3fe9d85e6b7ed073c,None,None,12,None,None,None,
2022-07-31T11:03:28+02:00,582c88ee94c24b4352477ffacf8de2afc521bcce,None,None,12,None,None,None,
2022-08-06T13:50:01+02:00,675f6a038ba98b6b906a4767f009cf6fe91b0c52,None,None,12,None,None,None,
2022-08-06T13:52:36+02:00,b8f4903fbb8ac9be8d26cef30848b3a9527c8725,None,None,None,None,None,None,
2022-08-06T13:53:55+02:00,7cc929f437f56396ce151c4d8095e24f3d957bd9,None,None,None,None,None,None,
2022-08-06T13:57:30+02:00,e639c4557786513018f625ff96f04b63157a85c1,None,None,None,None,None,None,
2022-08-12T14:29:40+02:00,0a01dd044f8a8f291127ebf60462773bf12c90c7,None,None,None,None,None,None,
2022-08-12T14:30:33+02:00,1054a483ca0c560d30fb61617c0192cb4cd31528,None,None,None,None,None,None,
2022-08-15T17:46:27+02:00,4568f6369bfb94d8a105a8074e43e8d79c57eaee,None,None,None,None,None,None,
2022-08-15T17:51:51+02:00,3370f69881564025d933668ea5d407af0c5dcea2,None,None,None,None,None,None,
2022-08-15T17:54:56+02:00,5f290352cd91beb9374671f6ae489165bd8ac2c0,None,None,None,None,None,None,
2022-08-15T18:01:37+02:00,15ac117ac492e3147b391aa0ee3665fe8876be63,None,None,None,None,None,None,
2022-08-17T19:56:15+02:00,02ef1f4496965b5ad8c26ac6bc18245eaffae2ea,None,None,None,None,None,None,
2022-08-29T19:15:14+02:00,97860cb575e3e71791b9a99b94f9f7d7a0dbf25e,None,None,None,None,None,None,
2022-09-07T07:31:48+02:00,dddf8fc2b4867bad8b01fe3a18266c3677f3f726,None,None,None,None,None,None,
2022-09-07T07:32:53+02:00,a4d18d23a9f7626234fcfbb6b23b3d0b8d1a9441,None,None,None,None,None,None,
2022-09-07T07:38:04+02:00,5eeb96d0e7d54686376305029c477c42478aa1d5,14,None,12,None,None,None,
2022-09-11T14:05:39+02:00,eaf2c8207fff9699201085fec123c114f454f798,None,None,12,None,None,None,
2022-09-11T14:13:24+02:00,9fa258ee1d36d5a432a7a3e857e0723d439528b0,None,None,12,None,None,None,
2022-09-11T14:15:54+02:00,1591e5ac3b24f068f965471f17d7aae33ceaab9f,None,11,12,None,None,None,
2022-09-11T14:19:57+02:00,82bb21dc7a198609589ef0cc78d185f00f619a90,None,11,12,None,None,None,
2022-09-17T09:05:35+02:00,5a871e174f22894837c2363b5c215854ee155113,None,11,12,None,None,None,
2022-09-17T09:13:07+02:00,154e7afed0fe9c6f45a2aee8ef6f38d44076cb19,None,11,12,None,None,None,
2022-09-17T09:30:52+02:00,dc0c441b7c5178baa1bb0cc51b2d0294f58759a4,None,11,12,None,None,None,
2022-09-27T07:44:46+02:00,29295ecfd357b5421eb4f273761dce8d9661f130,None,11,12,None,None,None,
2022-09-27T07:48:05+02:00,70e51a5bc81bd15a73d2cb0be5008c7c02b1b0d5,None,11,12,None,None,None,
2022-09-27T07:52:38+02:00,4339a756ac0a97563442ee4fb67694a5dfc66da4,None,11,12,None,None,None,
2022-09-27T07:54:36+02:00,232bf19be43117cdecea054c9a825735f0b47842,None,None,12,None,None,None,
2022-10-03T11:50:31+02:00,f436bf77ad2eb42228747d9aa58eeb7403e23d49,None,None,12,None,None,None,
2022-10-04T01:07:27+02:00,8bab09749dd00951bfa9c5f89f6e35bded76c8a9,None,None,18,None,None,None,
2022-10-05T22:59:05+02:00,da937e219ee7981966ac29fc11c43470a505ff18,None,None,12,None,None,None,
2022-10-08T18:07:30+02:00,d5271af0ee28cb52e1033f183f3b34754aa5efa0,None,None,12,None,None,None,
2022-10-08T18:09:02+02:00,e90341f9c9cd24e75aba2485b2ab1e445f4a5b70,None,None,12,None,None,None,
2022-10-16T11:42:19+02:00,93f71ecfe1d26e5ccc813318f420b8363cd26003,None,None,12,None,None,None,
2022-10-16T11:45:16+02:00,f97a86e213fd352a1a7017e5c98608cefc3ef1fa,None,None,12,None,None,None,
2022-10-16T11:49:07+02:00,d6b6360ff5dcdffa141f50d0a81d0be7c6324c71,None,11,12,None,None,None,
2022-10-16T11:51:41+02:00,9be2977da7921aedfd3215f1f4b5f522359effa0,None,11,12,None,None,None,
2022-10-16T12:58:48+02:00,79c5f3a69247b44ee6362a3d9236cd9bc048c5f5,None,11,12,None,None,None,
2022-10-23T19:58:47+02:00,234d2156fdf011a7bb850e3d6172ed2290ab3ad2,None,11,12,None,None,None,
2022-10-23T20:08:18+02:00,804394b939614ca6ac99e31be236c019db365bb7,None,11,12,None,None,None,
2022-10-23T20:18:08+02:00,5604b255e6012ed44eb03e2e93949d904fc7279b,None,11,12,None,None,None,
2022-10-23T20:22:04+02:00,4ec8945eafc5b271d1c9d276fab590fa26c24901,None,None,12,None,None,None,
2022-10-26T20:28:12+02:00,a5500edc555f6d4429b3b697392f5f27215cb1db,None,None,12,None,None,None,
2022-10-27T08:15:46+02:00,8333b2a94c7c7e6e13822153f35899b64a690ac2,None,None,12,None,None,None,
2022-10-30T16:17:49+01:00,f154ed7a2d4176670cc971611b1b32e8d3d18b4b,None,None,12,None,None,None,
2022-10-30T16:19:09+01:00,d09653df0d1bfec0af05ab2e8975e0d8e5cccba8,None,11,12,None,None,None,
2022-11-05T09:15:14+01:00,61a2cb84a60b8a48a0e1d34955d8a4d1acdcf497,None,11,12,None,None,None,
2022-11-05T09:15:53+01:00,ad2aa8c06f438de8b8bb7b7c8726430e3f2a5685,None,11,12,None,None,None,
2022-11-07T07:56:58+01:00,e048d1182562eb7ce1eae45f626681206da446b8,None,11,12,None,None,None,
2022-11-07T08:00:05+01:00,a41390079147aea89cb5222089a45e1958ebec8e,None,11,None,None,None,None,
2022-11-07T21:42:04+01:00,6c1df553fa7a94551de7b07515a29098a2f23c16,None,11,None,None,None,None,
2022-11-19T09:23:26+01:00,219fa2f0a79381d35d9eb1240781cc598e74f647,None,11,None,None,None,None,
2022-11-19T09:29:04+01:00,41c6a74d372799c6ed94b842db66f956d080e0b0,None,None,12,None,None,None,
2022-11-20T09:58:07+01:00,d756d97a66cb18de182e018446b9149a5ff8ef18,None,None,12,None,None,None,
2022-11-20T09:59:35+01:00,341163116233682bf150d20cddedcb23e6d09431,None,None,12,None,None,None,
2022-11-20T10:00:42+01:00,d8f3209fb4053bec406645e6df0f8a4d71f5a749,None,None,12,None,None,None,
2022-11-23T21:25:14+01:00,85ae65db1dd315ea500f30226781c4c471d30c5d,None,11,12,None,None,None,
2022-11-23T21:36:22+01:00,1370127fcd72b5c6646ff03a4a779b81ad0bcf3d,None,11,12,None,None,None,
2022-11-23T21:45:06+01:00,f5a31b7e576e2e56825fcfdff75c739ed545e852,None,11,12,None,None,None,
2022-12-02T20:03:49+01:00,6a6faac04db26daae6a77b6df6529e22d549531b,None,11,12,None,None,None,
2022-12-02T20:05:50+01:00,c7118fb46dc71d87d3f2c925b24e67184693da4f,None,11,12,None,None,None,
2022-12-02T20:06:59+01:00,d60f5de9670cc84ba7940b5815bc3e128da9423f,None,11,12,None,None,None,
2022-12-04T14:17:15+01:00,758f9c9350abee36a5865ec701560db8ea62004d,None,11,12,None,None,None,sf_15.1
2022-12-08T20:33:32+01:00,e8caa6640df15b1823d5d4b94e759d52923769e6,None,11,12,None,None,None,
2022-12-08T20:36:52+01:00,9fc203a3d05262ac74bfca8b4618155e18d76003,None,11,12,None,None,None,
2022-12-08T20:41:45+01:00,98965c139df1483a3d684ee8bc7a60dc4b95efa1,None,None,12,None,None,None,
2022-12-08T20:43:21+01:00,cb0c7a98485fbef4e5d6ed5f5b08201113ce0b4e,None,None,12,None,None,None,
2022-12-08T20:48:20+01:00,74fb936dbd49c61bf3352febd1c57a68888100d0,None,None,12,None,None,None,
2022-12-09T16:54:43+01:00,aa603cfeeb6e902bcf996758515170b996ec1fb6,None,None,12,None,None,None,
2022-12-09T16:59:55+01:00,9d3fd011f1bc9ef6f3a3091aae10634b31e0032c,None,11,12,None,None,None,
2022-12-09T17:01:16+01:00,44ecadee10111f028e28f47df6dfc9accd908293,None,11,12,None,None,None,
2022-12-09T17:56:55+01:00,aedf0251e6170a631b56a24dff31e83b9656933d,None,11,12,None,None,None,
2022-12-09T22:58:22+01:00,3a30b478d20c16a357d1e538f1ce9428e7285736,None,11,12,None,None,None,
2022-12-09T22:58:49+01:00,8f817ef0824e4d940128f5701573f74819f50da5,None,11,12,None,None,None,
2022-12-12T08:14:26+01:00,955edf1d1d4f5643b450b1ee1e95dc3f094e1884,None,None,12,None,None,None,
2022-12-12T08:15:19+01:00,310928e985a6d87bdd73542e2109f93c31e2cc41,None,None,12,None,None,None,
2022-12-12T08:17:52+01:00,5fe1fa0210e25cecc9de5520da56173ef94b8e59,None,None,12,None,None,None,
2022-12-12T08:20:48+01:00,7cf93f8b7101e5cf5df3f7921861f27b3beb9525,None,11,None,None,None,None,
2022-12-19T18:08:12+01:00,3659a9fda0096cac091458df2c259e5636bc9106,None,11,None,None,None,None,
2022-12-19T18:09:52+01:00,726e90ccfaea85c5831ad4834a6a08f5bec3f2f2,None,11,None,None,None,None,
2022-12-19T18:11:12+01:00,39af98c807d236b6511b6e399caf40102398900c,None,11,12,None,None,None,
2022-12-19T18:15:09+01:00,3a32d3e00cca23648f10a40c5b322f2fd56dc0ae,None,11,12,None,None,None,
2022-12-19T18:17:50+01:00,61ea1534ff7026009a3435575c7beee91534db83,None,11,12,None,None,None,
2022-12-19T20:46:04+01:00,c2d507005c51145211a7963af7c41026bd759d08,None,11,12,None,None,None,
2022-12-20T08:14:19+01:00,20b02264620397eacf4e43736ec7f7c48a9a7068,None,11,12,None,None,None,
2022-12-21T07:14:58+01:00,c620886181b5c0fb4a0c067b4173143a81819199,None,None,None,None,None,None,
2022-12-24T15:58:51+01:00,b2bd8699eccc149cdda1f7bf6e1eed42088ec827,None,None,None,None,None,None,
2022-12-24T16:01:50+01:00,64656f8583dde88d558d5367b4cf8fc136c3214a,None,None,None,None,None,None,
2023-01-01T12:24:42+01:00,f09b391ceb5ea282538b721b069db67e3b6e098f,None,None,None,None,None,None,
2023-01-01T12:26:36+01:00,258c13ba8cc8d054b803a04c433a766d0c5a1e8f,None,None,None,None,None,None,
2023-01-01T12:28:51+01:00,be9bc420afa11314c886c0aede4c4ae3d76f8a50,None,None,12,None,None,None,
2023-01-02T19:07:38+01:00,b60f9cc4515cdfb657a0166abb29a60257cc59e1,None,None,12,None,None,None,
2023-01-02T19:10:14+01:00,a6fa683418c6a74491035601e16497851eea6be6,None,None,21,None,None,None,
2023-01-02T19:14:05+01:00,fc5b59b88bae00b7e74bbad0de7c3c33136937cf,None,None,None,None,None,None,
2023-01-04T09:37:02+01:00,9fe9ff00823a0d1e989fcfc45410396e94345987,None,None,12,None,None,None,
2023-01-09T20:12:01+01:00,ea0f34120fbc1ab7aa8047a1319714b87a1f3b87,None,None,12,None,None,None,
2023-01-09T20:15:08+01:00,4101893a28b4d34262ed1fba10f2365e964b6537,None,11,12,None,19,None,
2023-01-09T20:16:17+01:00,fcee83810a5bcf774d3e13cf9e65ccf3b29e3319,None,11,12,None,19,None,
2023-01-09T20:18:39+01:00,31acd6bab70f4661316986c2c93163d39736fd61,None,11,12,None,19,None,
2023-01-09T20:25:13+01:00,5a88c5bb9b3e5ee431ac85abb8981b1571b68b2d,None,11,12,None,19,None,
2023-01-09T20:28:24+01:00,e9e7a7b83f78b5c7d29f69083589b449d9b52390,None,11,12,None,19,None,
2023-01-09T20:32:58+01:00,4f4e652ecaf8d42a9bd1092f72c3704435ddba12,None,11,12,None,19,None,
2023-01-14T08:12:11+01:00,3d2381d76d7bf9686ef0e0671f60c3b885a7058a,None,None,12,None,19,None,
2023-01-22T10:51:02+01:00,da5bcec481dc22ad2de2e2c8e5c6e8304a373445,None,None,12,None,19,None,
